WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4044664532123 -34.5896121001007,-58.4045099234094 -34.5896440426107,-58.4052917466261 -34.5902198423698))";24916;AGUERO;CALLE;1022;6951;15-088;derecho;1801 - 1899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4050681980699 -34.5888346087888,-58.4041272286641 -34.588150031688))";24917;AUSTRIA;CALLE;1138;6614;15-089;derecho;2001 - 2099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4032135595097 -34.5886901459695,-58.4042385432133 -34.5894427719052))";24918;AGUERO;CALLE;1022;6767;15-089;derecho;1901 - 1999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4039014123313 -34.58798203269,-58.4038770259476 -34.5879643025703,-58.4030424242356 -34.5873554014163))";24919;AUSTRIA;CALLE;1138;6416;15-090;derecho;2101 - 2199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4021306064992 -34.5878988474887,-58.4021752175112 -34.5879324194574,-58.402977325037 -34.5885214516932))";24920;AGUERO;CALLE;1022;6545;15-090;derecho;2001 - 2099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4018450049125 -34.5865485788614,-58.4010805390559 -34.5870081211251,-58.4010761124137 -34.5870108244189))";24921;"PACHECO DE MELO, JOSE ANDRES";CALLE;17002;6188;15-091;derecho;2601 - 2699;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4028264718393 -34.587201575883,-58.4019690799632 -34.5865760666536))";24922;AUSTRIA;CALLE;1138;6232;15-091;derecho;2201 - 2299;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4010919395457 -34.5871039106373,-58.4019163281811 -34.5877450551018))";24923;AGUERO;CALLE;1022;6369;15-091;derecho;2101 - 2199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4020450085382 -34.5877590650035,-58.4028453078991 -34.5872817656104))";24924;PEÃA;CALLE;17054;6370;15-091;derecho;2701 - 2799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4017888619438 -34.5864456481458,-58.4012038185262 -34.5860187528119))";24925;AUSTRIA;CALLE;1138;6053;15-092;derecho;2301 - 2399;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4010109536376 -34.5858793002464,-58.400013816475 -34.5851518447912))";24926;AUSTRIA;CALLE;1138;5939;15-094;derecho;2401 - 2499;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.40027172811 -34.5864395849761,-58.4010394637003 -34.5859619424639))";24927;"GUTIERREZ, JUAN MARIA";CALLE;7111;6062;15-094;derecho;2701 - 2799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3989094611633 -34.5843335486429,-58.3974836139502 -34.5832729943401))";24928;AUSTRIA;CALLE;1138;5617;15-096;derecho;2601 - 2699;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3971132216207 -34.5842197198988,-58.3976337327341 -34.5846404085811,-58.3977281855638 -34.5847103675123))";24929;AGUERO;CALLE;1022;5694;15-096;derecho;2501 - 2599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3997232436672 -34.5849330319238,-58.3996565595797 -34.5848843780157,-58.3990541320296 -34.5844362443482))";24930;AUSTRIA;CALLE;1138;5745;15-096;derecho;2501 - 2599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3978797653571 -34.5848144253289,-58.3986822040379 -34.5854085566573,-58.3989584886235 -34.5856053299203))";24931;AGUERO;CALLE;1022;5908;15-096;derecho;2401 - 2499;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4089821956561 -34.5970737160975,-58.4094352907199 -34.5979695930699))";24932;LAPRIDA;CALLE;12056;8563;15-100;derecho;901 - 999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4095330864841 -34.5957530692356,-58.4087509683004 -34.5960881498715,-58.4085978584129 -34.5961539469476))";24933;PARAGUAY;CALLE;17017;8115;15-101;derecho;2901 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
